_id,MSYMPTOMID,TOCALLDATE,Repair_time,Average_repairtime_year,Average_repairtime_all,worksheets_closed,Average_worksheets_year
65407fde983e3aa5f5c60ab5,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ab6,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60ab7,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60ab8,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60ab9,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60aba,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60abb,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60abc,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60abd,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60abe,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60abf,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ac0,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ac1,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ac2,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ac3,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ac4,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ac5,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ac6,Telephony,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c60ac7,Hardware,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c60ac8,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ac9,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60aca,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60acb,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60acc,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60acd,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ace,Others,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60acf,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ad0,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ad1,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ad2,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ad3,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ad4,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ad5,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ad6,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ad7,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ad8,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60ad9,Software,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c60ada,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60adb,Hardware,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c60adc,Hardware,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c60add,Others,Year_2560,0,4,2,V1,208
